promise_id,promise_text,source,text
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",news,"General Election to Legislative Assembly of Karnataka, 2023 -reg. - पीआईबी"
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",news,Top 10 companies for CSR in Healthcare in India 2023 - The CSR Journal
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",news,"Karnataka CM Siddaramaiah presents his record 16th Budget, with an outlay of ₹4,09,549 crore - The South First"
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",news,"Candidates can write the railway recruitment exam in Kannada, says Somanna - The Hindu"
P172,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",news,"CIDCO Lottery 2025 to offer 22,000 houses in Navi Mumbai. How to apply for the lottery online? - housing.com"
P172,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",news,"RGRHCL: Benefits, eligibility, beneficiary status 2025 check online - housing.com"
P175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,news,"Pradhan Mantri Awas Yojana 2026: Beneficiaries, online, offline application - housing.com"
P175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,news,Union Minister Pralhad Joshi felicitated by Dubai Kannada Sangha - The Hans India
P175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,news,Karnataka govt to create separate ministry for NRI Kannadigas | Bengaluru - Hindustan Times
P177,To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,news,Fear of dole loss keeps youth from Yuva Nidhi skill courses in Karnataka - The Times of India
P177,To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,news,"Yuva Nidhi Scheme Karnataka: Eligibility, Registration, How To Apply Online, Benefits - ClearTax"
P179,To provide free bus passes and train tickets to the candidates taking up competitive examinations.,news,"Mumbai civic polls: Mahayuti releases manifesto, promises bus concessions for women among other benefits - The Hindu"
P179,To provide free bus passes and train tickets to the candidates taking up competitive examinations.,news,RRB NTPC 2025 stage 1 CBT exam rescheduled again: Check new dates here - The Times of India
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,news,"Corporates in Gujarat Defy Local Jobs Policy, RTI Finds - Frontline Magazine"
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,news,"10 years on, special status a mixed bag for Kalyana Karnataka - The Times of India"
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,news,"Karnataka jobs reservation for Kannadigas: India Inc says move 'discriminatory', calls for it to be junked - The Economic Times"
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,news,Reserve jobs for Tamils in Tamil Nadu as promised: Anbumani - The Hindu
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,news,Karnataka's 70% jobs quota for locals faces criticism; phenomenon not limited to the state - The Economic Times
P181,To Constitute a Youth Commission to facilitate the overall development of youth,news,Strengthening Panchayati Raj Institutions in India - Drishti IAS
P182,To allot Rs.2000 crores per year for sports.,news,Will change landscape of Kalaburagi in the next two-and-a-half years: Karnataka Minister - The Hindu
P182,To allot Rs.2000 crores per year for sports.,news,Delhi Plugs Into EV 2.0 With PM E-Drive - The Times of India
P182,To allot Rs.2000 crores per year for sports.,news,Karnataka Budget 2025: Key takeaways - Deccan Herald
P182,To allot Rs.2000 crores per year for sports.,news,"Centre denies funds for MP’s Jal Jeevan Mission: State govt to allocate ₹9,026 crore for completing over 8,... - Bhaskar English"
P182,To allot Rs.2000 crores per year for sports.,news,"Karnataka eyes Rs 2,000 crore boost in CSR funds for transforming govt schools - The Indian Express"
P183,"To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports.",news,Godrej Brings Smart Lock Demos to Mysore Retail Hub - Indian Retailer
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",news,‘Work near home’ project to be extended to 200 centres next year - The Times of India
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",news,Bihar CM expands self-help allowance scheme to cover unemployed young graduates - The Hindu
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",news,Budget 2026–27 Full Speech: Read the complete text of FM Nirmala Sitharaman’s address - The Financial Express
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",news,Maharashtra NMMS result 2026 out; MSCE Pune releases Class 8 scholarship merit list at 2026.mscenmms.in - The Times of India
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",news,Sports sector bats for access & infra - The Times of India
P195,"To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.",news,"BJP’s narrative on Rs 100 crore grant for Urdu is misleading, communal: Siddaramaiah - The Times of India"
P198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,news,Gandhi Bharat event in Belagavi to garner national attention - The Times of India
P198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,news,Mahatma Swachh Bharat: ‘Born in year Gandhi died… cleaning all my life’ - The Indian Express
P199,To Set up Festival Authority of Karnataka.,news,Karnataka government holiday list 2026 released: Full list of general and restricted holidays for state go - The Economic Times
P199,To Set up Festival Authority of Karnataka.,news,State mulls new sandbox plan for tech startups but industry veterans sceptical - The Times of India
