promise_id,promise_text,category,evidence_googlenews,news_sources
A159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,Pourakarmikas,"['Over 10k in Karnataka await compensation awarded by consumer courts - The Times of India. Over 10k in Karnataka await compensation awarded by consumer courts&nbsp;&nbsp;The Times of India', 'Empty gas cylinders neither prohibited nor hazardous: Karnataka HC - The Times of India. Empty gas cylinders neither prohibited nor hazardous: Karnataka HC&nbsp;&nbsp;The Times of India', 'Extreme heatwave alert: Kerala records hazardous UV levels; IMD puts Tamil Nadu, Maharashtra, Karnataka an - The Economic Times. Extreme heatwave alert: Kerala records hazardous UV levels; IMD puts Tamil Nadu, Maharashtra, Karnataka an&nbsp;&nbsp;The Economic Times', 'Karnataka passes bill to provide social security for gig workers, mandates welfare fee on aggregators - The New Indian Express. Karnataka passes bill to provide social security for gig workers, mandates welfare fee on aggregators&nbsp;&nbsp;The New Indian Express', 'End of road for old vehicles in Karnataka - The New Indian Express. End of road for old vehicles in Karnataka&nbsp;&nbsp;The New Indian Express']","['The Times of India', 'The Times of India', 'The Economic Times', 'The New Indian Express', 'The New Indian Express']"
A160,To set up Auto Drivers' Board and Taxi Drivers' Welfare Board funding with Rs. 50 Crs to each and encouragement for self-employment.,Drivers:,[],[]
A161,"To develop dedicated hawker zones in all district HQs and to provide one-time financial assistance of Rs. 20,000 to street vendors to set up their shops in these zones.",Street Vendors,['Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions - CNBC TV18. Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions&nbsp;&nbsp;CNBC TV18'],['CNBC TV18']
A162,"To establish a Gig Workers' Welfare Board with allotment of Rs.3,000 Crs as seed money for revolving fund.",Gig and Un-organised Workers,"[""BJP vs Congress: How business took a backseat in Karnataka's state election campaign - The Economic Times. BJP vs Congress: How business took a backseat in Karnataka's state election campaign&nbsp;&nbsp;The Economic Times""]",['The Economic Times']
A163,"Tocreate Sharavana Kumara Senior citizens welfare fund - Rs.1,000 Crore.",Senior Citizens:,[],[]
A164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,Senior Citizens:,"['Karnataka government launches subsidized pilgrimage tour packages - The Times of India. Karnataka government launches subsidized pilgrimage tour packages&nbsp;&nbsp;The Times of India', 'Devotees throng temples in coastal districts of Karnataka for Mahashivaratri - The Times of India. Devotees throng temples in coastal districts of Karnataka for Mahashivaratri&nbsp;&nbsp;The Times of India', 'Newly found ‘Shakti’ makes it possible for women to visit faraway temples like Kukke Subrahmanya in Karnataka - The Hindu. Newly found ‘Shakti’ makes it possible for women to visit faraway temples like Kukke Subrahmanya in Karnataka&nbsp;&nbsp;The Hindu', 'Iran-Israel conflict: Over 100 from Karnataka’s Alipur stranded in Iran, to return under Operation Sindhu - The Times of India. Iran-Israel conflict: Over 100 from Karnataka’s Alipur stranded in Iran, to return under Operation Sindhu&nbsp;&nbsp;The Times of India', 'Bengaluru temples face income decline as devotees opt to travel to shrines across state using Shakti sche - The Times of India. Bengaluru temples face income decline as devotees opt to travel to shrines across state using Shakti sche&nbsp;&nbsp;The Times of India', 'Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu. Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP&nbsp;&nbsp;The Hindu']","['The Times of India', 'The Times of India', 'The Hindu', 'The Times of India', 'The Times of India', 'The Hindu']"
A165,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra.",Senior Citizens:,[],[]
A166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,Persons otherwise able,[],[]
A167,"To create a Rs 50 Crore ""Vidhya Deepa Nidhi"" disabled youth scholarship fund to ensure access to higher education both in India and abroad.",Persons otherwise able,[],[]
A168,To provide free bus pass and to one accompanying person.,Persons otherwise able,"[""Congress rolls out 'Shakti' scheme with launch of free bus travel for women in Karnataka - The New Indian Express. Congress rolls out 'Shakti' scheme with launch of free bus travel for women in Karnataka&nbsp;&nbsp;The New Indian Express"", 'Bengaluru: ‘Shakti’ scheme offering women free bus rides come with conditions attached - The Hans India. Bengaluru: ‘Shakti’ scheme offering women free bus rides come with conditions attached&nbsp;&nbsp;The Hans India', ""'Is women travelling buses for free fair?': Bengaluru man's post saying freebies money can be used better - The Times of India. 'Is women travelling buses for free fair?': Bengaluru man's post saying freebies money can be used better&nbsp;&nbsp;The Times of India"", 'State govt’s Shakti scheme floated across North Karnataka - The Times of India. State govt’s Shakti scheme floated across North Karnataka&nbsp;&nbsp;The Times of India']","['The New Indian Express', 'The Hans India', 'The Times of India', 'The Times of India']"
A169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka.",Persons otherwise able,['Top news in Karnataka today - The Hindu. Top news in Karnataka today&nbsp;&nbsp;The Hindu'],['The Hindu']
A170,"To establish ""Field Marshal General Kariappa Ex-servicemen Development Board with Rs.500 Crores revolving fund to provide financial assistance to ex- servicemen to upto Rs.10 lakhs @ 5% interest to start self- employment/entrepreneurship.",Veteran Army personnel,[],[]
A171,Topush forONE RANK ONE PENSION for Ex-Servicemen,Veteran Army personnel,[],[]
A172,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",Veteran Army personnel,[],[]
A173,Establishment ofa a Journalist Welfare Fund with seed money of Rs.500 Crores.,Journalists,[],[]
A174,"To assist establishing Advocate Bhavans in Corporation, cities and District Headquarters.",Advocates,[],[]
A175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,NRI Kannadigas,"['Karnataka govt to create separate ministry for NRI Kannadigas | Bengaluru - Hindustan Times. Karnataka govt to create separate ministry for NRI Kannadigas | Bengaluru&nbsp;&nbsp;Hindustan Times', 'Karnataka NRIs Seek Dedicated Ministry, Submit Memorandum to CM - Mangalore Today. Karnataka NRIs Seek Dedicated Ministry, Submit Memorandum to CM&nbsp;&nbsp;Mangalore Today']","['Hindustan Times', 'Mangalore Today']"
A176,To help in setting up industries and those permanently relocating by creating revolving fund of Rs.1000 Crs.,NRI Kannadigas,[],[]
A177,To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,"Youth, Employment and Sports",['Fear of dole loss keeps youth from Yuva Nidhi skill courses in Karnataka - The Times of India. Fear of dole loss keeps youth from Yuva Nidhi skill courses in Karnataka&nbsp;&nbsp;The Times of India'],['The Times of India']
A178,To establish Bharatha Ratna CNR Fund with 500 crores corpus for basic scientific research for youth.,"Youth, Employment and Sports",[],[]
A179,To provide free bus passes and train tickets to the candidates taking up competitive examinations.,"Youth, Employment and Sports",[],[]
A180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,"Youth, Employment and Sports","[""Karnataka's 70% jobs quota for locals faces criticism; phenomenon not limited to the state - The Economic Times. Karnataka's 70% jobs quota for locals faces criticism; phenomenon not limited to the state&nbsp;&nbsp;The Economic Times"", ""Karnataka jobs reservation for Kannadigas: India Inc says move 'discriminatory', calls for it to be junked - The Economic Times. Karnataka jobs reservation for Kannadigas: India Inc says move 'discriminatory', calls for it to be junked&nbsp;&nbsp;The Economic Times"", 'After backlash, Karnataka Govt puts private sector quota Bill on hold - The Indian Express. After backlash, Karnataka Govt puts private sector quota Bill on hold&nbsp;&nbsp;The Indian Express', '10 years on, special status a mixed bag for Kalyana Karnataka - The Times of India. 10 years on, special status a mixed bag for Kalyana Karnataka&nbsp;&nbsp;The Times of India']","['The Economic Times', 'The Economic Times', 'The Indian Express', 'The Times of India']"
A181,To Constitute a Youth Commission to facilitate the overall development of youth,"Youth, Employment and Sports",[],[]
A182,To allot Rs.2000 crores per year for sports.,"Youth, Employment and Sports","['On Day 1, Karnataka Cabinet clears 5 promises, to cost Rs 50k crore per year - The Indian Express. On Day 1, Karnataka Cabinet clears 5 promises, to cost Rs 50k crore per year&nbsp;&nbsp;The Indian Express', 'Transgenders seek Rs 200 crore in Karnataka budget - The New Indian Express. Transgenders seek Rs 200 crore in Karnataka budget&nbsp;&nbsp;The New Indian Express', 'Karnataka eyes Rs 2,000 crore boost in CSR funds for transforming govt schools - The Indian Express. Karnataka eyes Rs 2,000 crore boost in CSR funds for transforming govt schools&nbsp;&nbsp;The Indian Express', 'Karnataka CM Siddaramaiah presents his record 16th Budget, with an outlay of ₹4,09,549 crore - The South First. Karnataka CM Siddaramaiah presents his record 16th Budget, with an outlay of ₹4,09,549 crore&nbsp;&nbsp;The South First', 'Karnataka may fund Rs 100 crore revamp of Ram temples - The Times of India. Karnataka may fund Rs 100 crore revamp of Ram temples&nbsp;&nbsp;The Times of India', 'Gruha Lakshmi Scheme Registration Partially Suspended In Karnataka - Oneindia. Gruha Lakshmi Scheme Registration Partially Suspended In Karnataka&nbsp;&nbsp;Oneindia', 'Siddaramaiah announces major development projects for Bengaluru - newskarnataka.com. Siddaramaiah announces major development projects for Bengaluru&nbsp;&nbsp;newskarnataka.com', 'Karnataka Budget 2025: Key takeaways - Deccan Herald. Karnataka Budget 2025: Key takeaways&nbsp;&nbsp;Deccan Herald', 'Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions - CNBC TV18. Karnataka Congress releases manifesto — from welfare schemes for women and farmers to salaries and pensions&nbsp;&nbsp;CNBC TV18', 'Karnataka CM Siddaramaiah may continue with some BJP govt schemes - The Times of India. Karnataka CM Siddaramaiah may continue with some BJP govt schemes&nbsp;&nbsp;The Times of India']","['The Indian Express', 'The New Indian Express', 'The Indian Express', 'The South First', 'The Times of India', 'Oneindia', 'newskarnataka.com', 'Deccan Herald', 'CNBC TV18', 'The Times of India']"
A183,"To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports.","Youth, Employment and Sports",[],[]
A184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance.","Youth, Employment and Sports",[],[]
A185,"To develop Kuppalli, the birth place of Rastra Kavi Kuvempu a nature tourist center make special project of Rs. 100 Crs.","Language, Literature, Tradition and Culture",[],[]
A186,"To encourage and develop Kannada Language, literature, education and culture in 63 Taluks in Border areas and in 6 adjoining states where there are large number of Kannadigas, annual allotment of Rs.200 crores.","Language, Literature, Tradition and Culture",[],[]
A187,"To start ""Kuvempu Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.","Language, Literature, Tradition and Culture",[],[]
A188,To set up the Aluru Venkata Rao Fund of Rs 100 Crore to promote Kannada in the digital space.,"Language, Literature, Tradition and Culture",[],[]
A189,To release Rs.100 crores to establish- Basavapatha - the institution for Social Inclusion and Religious Ethics - in Kudalasangama.,"Language, Literature, Tradition and Culture",[],[]
A190,To build a state-of-the-art museum and theme park dedicated to Veera Madakari Nayaka in Chitradurga.,"Language, Literature, Tradition and Culture",[],[]
A191,"To create a Rs 500 Crore ""Thayi Bhuvaneshwari Monuments Fund"" to ensure the proper maintenance of all ASI sites in Karnataka.","Language, Literature, Tradition and Culture",[],[]
A192,"To revive and develop Bhuvanagiri in Siddapur taluk as a tourist destination with aRs 10 Crore grant, as it is the only place in the state where a temple is dedicated to Kannada Mathe Bhuvaneshwari Devi.","Language, Literature, Tradition and Culture",[],[]
A193,To bring out all Mahakavyas of Kannada Literture in digital form in the Gamaka format.,"Language, Literature, Tradition and Culture",[],[]
A194,To make special projects to study of Samskrith Literature - Adi Shankaracharya Adhyayana Yojane,"Language, Literature, Tradition and Culture",[],[]
A195,"To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.","Language, Literature, Tradition and Culture",[],[]
A196,To establish Yakshagana Pradhikara with Rs. 25 Crs annual grants.,"Language, Literature, Tradition and Culture",[],[]
A197,"To evolve a scheme to provide economic security to the artists of Yakshagana, Kambala, drama, music Dhaivaradhana work and other forms of arts.","Language, Literature, Tradition and Culture",[],[]
A198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,"Language, Literature, Tradition and Culture","['Why Karnataka Congress wants to rekindle Gandhian spirit, ideals in Belagavi - The Federal. Why Karnataka Congress wants to rekindle Gandhian spirit, ideals in Belagavi&nbsp;&nbsp;The Federal', 'Forgotten tales of the freedom struggle in North Karnataka - The Hindu. Forgotten tales of the freedom struggle in North Karnataka&nbsp;&nbsp;The Hindu', ""Congress holds 'Jai Bhim, Jai Bapu, Jai Samvidhan' rally: Karnataka CM Siddaramaiah says Gandhi was a 'true... - Bhaskar English. Congress holds 'Jai Bhim, Jai Bapu, Jai Samvidhan' rally: Karnataka CM Siddaramaiah says Gandhi was a 'true...&nbsp;&nbsp;Bhaskar English""]","['The Federal', 'The Hindu', 'Bhaskar English']"
A199,To Set up Festival Authority of Karnataka.,"Language, Literature, Tradition and Culture","['Karnataka Social Welfare Minister H.C. Mahadevappa inaugurates Dasara Film Festival 2025, says cinema is a powerful medium - The Hindu. Karnataka Social Welfare Minister H.C. Mahadevappa inaugurates Dasara Film Festival 2025, says cinema is a powerful medium&nbsp;&nbsp;The Hindu', 'Hasanamba festival in Karnataka’s Hassan: Temple to be opened on Oct. 9, 2 lakh devotees expected per day - The Hindu. Hasanamba festival in Karnataka’s Hassan: Temple to be opened on Oct. 9, 2 lakh devotees expected per day&nbsp;&nbsp;The Hindu', 'Karnataka high court orders setting up unified digital platform for solid waste management - The Times of India. Karnataka high court orders setting up unified digital platform for solid waste management&nbsp;&nbsp;The Times of India', 'Karnataka: Symbolic Cauvery Aarti ceremony will be held at KRS during Dasara, says Srirangapatna MLA - The Hindu. Karnataka: Symbolic Cauvery Aarti ceremony will be held at KRS during Dasara, says Srirangapatna MLA&nbsp;&nbsp;The Hindu', 'Karnataka PGCET 2025 counselling schedule released: Option entry starts Sept 24 - The Times of India. Karnataka PGCET 2025 counselling schedule released: Option entry starts Sept 24&nbsp;&nbsp;The Times of India', 'Karnataka Budget | CM Siddaramaiah announces initiatives for development of Kannada, culture, literature - Deccan Herald. Karnataka Budget | CM Siddaramaiah announces initiatives for development of Kannada, culture, literature&nbsp;&nbsp;Deccan Herald', 'Karnataka to enforce Greater Bengaluru Governance Act on May 15, restructuring BBMP: Report | Bengaluru - Hindustan Times. Karnataka to enforce Greater Bengaluru Governance Act on May 15, restructuring BBMP: Report | Bengaluru&nbsp;&nbsp;Hindustan Times', '10 crore action plan for Kittur development approved by Karnataka government - The Hans India. 10 crore action plan for Kittur development approved by Karnataka government&nbsp;&nbsp;The Hans India', 'Dasara symbolises women’s pride and strength: Karnataka Minister - The Hindu. Dasara symbolises women’s pride and strength: Karnataka Minister&nbsp;&nbsp;The Hindu', 'Karnataka government moves to roll out Apartment Bill 2025: All you need to know | Real Estate News - Hindustan Times. Karnataka government moves to roll out Apartment Bill 2025: All you need to know | Real Estate News&nbsp;&nbsp;Hindustan Times']","['The Hindu', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'Deccan Herald', 'Hindustan Times', 'The Hans India', 'The Hindu', 'Hindustan Times']"
A200,"To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12.","Language, Literature, Tradition and Culture",[],[]
A201,"To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai.","Language, Literature, Tradition and Culture",[],[]
A202,"To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses.","Language, Literature, Tradition and Culture",[],[]
A203,"To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi""","Language, Literature, Tradition and Culture",[],[]
A204,"To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees.","Language, Literature, Tradition and Culture",[],[]
A205,"To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.","Language, Literature, Tradition and Culture",[],[]
A206,"To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds.","Language, Literature, Tradition and Culture",[],[]
A207,To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.,"Language, Literature, Tradition and Culture",[],[]
A208,"To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions.","Language, Literature, Tradition and Culture",[],[]
A209,To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.,"Language, Literature, Tradition and Culture",[],[]
A210,"To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music.","Language, Literature, Tradition and Culture",[],[]
A211,To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.,"Language, Literature, Tradition and Culture",[],[]
A212,"To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”","Language, Literature, Tradition and Culture",[],[]
A213,To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.,"Language, Literature, Tradition and Culture",[],[]
A214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,"Language, Literature, Tradition and Culture","['Karnataka Chief Minister announces ₹1 crore grant to Kodava hockey tournament - The Hindu. Karnataka Chief Minister announces ₹1 crore grant to Kodava hockey tournament&nbsp;&nbsp;The Hindu', 'Why is the Karnataka government giving priority to Urdu over Kannada? State language is neglected while Siddaramaiah tries to divert the truth - HinduPost. Why is the Karnataka government giving priority to Urdu over Kannada? State language is neglected while Siddaramaiah tries to divert the truth&nbsp;&nbsp;HinduPost']","['The Hindu', 'HinduPost']"
A215,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established.",Temples and Pilgrim Centres:,[],[]
A216,To increase monthly grants to Muzarai temples.,Temples and Pilgrim Centres:,"['Temples in Karnataka got highest allocation of funds under BJP in last 5 years - The Indian Express. Temples in Karnataka got highest allocation of funds under BJP in last 5 years&nbsp;&nbsp;The Indian Express', 'Archakas’ federation demands increase in thasthik in Karnataka - The Hindu. Archakas’ federation demands increase in thasthik in Karnataka&nbsp;&nbsp;The Hindu', 'No diversion of temple funds, let BJP leaders read law first: Ramalinga Reddy, Karnataka Minister for Tran - The Economic Times. No diversion of temple funds, let BJP leaders read law first: Ramalinga Reddy, Karnataka Minister for Tran&nbsp;&nbsp;The Economic Times', 'Karnataka government to directly pay salaries of temple employees - The Hindu. Karnataka government to directly pay salaries of temple employees&nbsp;&nbsp;The Hindu', 'The Karnataka temple tax legislation: Claims, counterclaims & FACTS - Alt News. The Karnataka temple tax legislation: Claims, counterclaims & FACTS&nbsp;&nbsp;Alt News', 'Is Karnataka Govt Using Temples Funds for Churches & Mosques? A Fact-Check - The Quint. Is Karnataka Govt Using Temples Funds for Churches & Mosques? A Fact-Check&nbsp;&nbsp;The Quint', '80 years on, Karnataka’s Muzrai department gets nod to have own HQ near Vidhana Soudha - The Times of India. 80 years on, Karnataka’s Muzrai department gets nod to have own HQ near Vidhana Soudha&nbsp;&nbsp;The Times of India', ""Karnataka Budget 2025 Highlights: Priests' salary, movie ticket prices, ‘Brand Bengaluru’ inside ₹4 lakh crore budget - Mint. Karnataka Budget 2025 Highlights: Priests' salary, movie ticket prices, ‘Brand Bengaluru’ inside ₹4 lakh crore budget&nbsp;&nbsp;Mint""]","['The Indian Express', 'The Hindu', 'The Economic Times', 'The Hindu', 'Alt News', 'The Quint', 'The Times of India', 'Mint']"
A217,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state.",Temples and Pilgrim Centres:,[],[]
A218,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme.",Temples and Pilgrim Centres:,[],[]
A219,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai.",Temples and Pilgrim Centres:,[],[]
A220,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level.",Temples and Pilgrim Centres:,[],[]
